ID,2,7.1 Filantropi,7.2 Zhvillim i qëndrueshëm,7.3 Dhënie të fondeve,7.4 Arsim,7.5 Rini,7.6 Të drejta të njeriut,7.7 Avokim,7.8 Ngritje e kapaciteteve ,7.9 Promovimi i të drejtave të njeriut ,7.10 Kulturë,7.11 Flora dhe fauna,7.12 Ndihmë personave me nevoja të veçanta ,7.13 Përfshirje sociale,7.14 Bujqësi,7.15 Ndihmë humanitare ,7.16 Demokratizim,7.17 Sport,7.18 Zhvillim ekonomik,7.19 Rrobaqepësi ,7.20 Shoqatë profesionale e ujërave,7.21 Barazi gjinore ,7.22 Shëndetësi,7.23 Hulumtime dhe analiza,7.24 Ndihmë sociale,7.25 Shoqatë profesionale shëndetësore,7.26 Shoqatë e mediave,7.27 Marrëdhënie ndër-etnike,7.28 Trashëgimi kulturore ,7.29 Aktivizëm qytetar ,7.30 Shoqatë profesionale,7.31 Zhvillim rural ,7.32 Përkrahje OJQ-ve të grave,7.33 Punësim,7.34 Sundim i ligjit,7.35 Turizëm,7.36 Teknologji informative ,7.37 Mjedis,7.38 Të drejta të pakicave,7.39 Arsim jo-formal,7.40 Reciklim ,7.41 Vullnetarizëm,9,11,14,15,18,22.1,22.2,22.3,22.4,22.5,22.6,23,26,32.1,32.2,32.3,32.4,32.5,32.6,32.7,33,34,43,45,48,50,58,64,65,66,67,68,69.1,69.2,69.3,69.4,69.5,74,78,94.1,94.2,94.3,96,97,102,103.1,103.2,103.3,104,105,106,108,111,112,113.1,113.2,113.3,113.4,114,119.1,119.2,119.3,120,121,124,126
38,Rahovec,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2000,1,2,1,1,1,0,0,0,0,1,0,3,3,3,1,1,1,1,3,1,2,1,30,0,2,2,2,0,2,2,0,0,0,0,0,2,2,,,1,2,,1,3,3,3,1,2,,2,88,4,,,,,,2,5,2,0,88,1,1
39,Prishtine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2005,1,2,3,0,0,0,0,0,0,3,0,2,1,2,2,2,2,1,3,1,1,9,2,1,2,3,1,0,7,2,0,1,0,0,0,2,3,,,1,2,,3,3,3,3,2,2,,1,2,4,,,,,,2,3,3,2,4,1,1
40,Gjakove,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1952,1,1,1,1,1,0,0,0,0,1,0,1,2,1,1,1,1,1,3,1,1,0,0,4,2,1,2,1,2,3,0,1,0,0,0,3,1,,,1,2,,3,2,2,2,2,1,2,2,2,4,,,,,,1,1,2,888,3,2,1
41,Gjakove,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2006,1,2,1,1,1,0,0,0,0,1,0,2,2,2,1,1,2,1,4,2,1,3,2,5,1,2,2,1,2,3,1,0,0,0,0,1,2,,,1,1,1,3,3,3,3,2,2,,1,88,2,1,,,,2,2,2,2,9,3,2,2
42,Prizreni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2006,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,4,1,1,5,5,4,2,5,1,6,6,1,1,1,0,0,0,2,2,,,1,2,,2,3,3,3,1,1,5,1,4,2,,,,1,2,2,3,3,8,3,2,2
43,Prishtine,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1948,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,1,1,6,15,4,1,1,1,3,5,3,1,1,0,0,0,2,3,,,1,1,1,4,1,1,2,2,2,,2,2,2,1,,,,88,3,2,4,2,3,2,2
44,Hani i Elezit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2007,1,2,1,0,0,0,0,0,0,1,0,2,1,2,1,1,3,1,4,1,2,13,5,0,2,2,1,0,1,3,0,0,0,1,0,2,2,,,1,2,,4,3,3,2,4,2,,1,4,2,,,1,,2,3,4,2,0,1,2,1
45,Mamushe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1979,1,2,1,0,0,0,0,0,0,3,0,2,3,3,1,1,1,1,3,2,2,1,1,0,2,2,2,0,1,2,0,0,0,0,0,2,2,,,1,1,3,4,3,3,3,1,2,,2,88,4,,,,,,3,5,3,0,88,3,1
46,Prishtine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2007,1,2,2,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,3,1,1,0,0,0,2,2,2,0,1,2,0,0,0,0,0,2,2,,,1,2,,3,3,3,3,2,2,,2,3,3,,,,1,88,4,4,4,2,3,2,2
47,Prishtine,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2007,1,2,2,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,4,2,1,10,11,2,1,4,1,10,6,2,1,0,0,0,0,1,1,,,1,1,1,3,2,2,3,2,1,2,1,3,2,1,1,,,2,5,5,5,2,4,2,1
48,Mamushe,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2008,1,1,1,0,0,0,0,0,0,3,0,1,2,1,1,1,1,1,3,1,1,0,1,0,2,2,2,3,1,2,1,0,0,0,0,3,2,,,1,2,,1,3,3,3,2,2,,2,88,4,,,,,,3,5,3,3,4,3,2
49,Prishtine,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2007,1,1,1,0,0,0,0,0,0,1,0,2,3,1,1,1,1,1,3,1,2,4,0,0,2,2,2,0,1,2,0,0,0,0,0,2,2,,,1,2,,2,3,3,3,2,2,,2,2,4,,,,,,2,2,2,2,4,2,1
50,Prishtine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2007,1,2,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,3,1,2,1,0,0,2,2,1,0,3,1,1,0,0,0,0,3,1,,,1,2,,2,1,1,1,3,2,,2,2,2,1,1,,,2,2,2,2,3,3,3,1
51,Kllokot,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2008,1,2,1,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,1,2,1,0,0,0,2,2,2,1,2,3,0,1,0,0,0,2,1,,,1,2,,1,1,1,3,3,2,,2,2,4,,,,,,2,2,2,2,3,2,2
52,Prishtine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2008,1,2,2,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,4,1,2,2,4,3,2,2,2,0,2,2,0,0,0,0,0,2,3,,,1,2,,3,3,2,2,3,2,,2,3,3,1,1,,,2,3,3,3,888,3,4,2
53,Prishtine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2008,1,2,2,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,4,2,2,0,2,1,2,2,2,0,1,2,0,0,0,0,0,2,3,,,1,2,,4,2,2,2,3,2,,2,3,3,,,,1,3,3,3,3,7,2,3,2
